iter	Accuracy	MultiClass
0	0.7625	2.382913416
1	0.7886363636	2.065729219
2	0.8880681818	1.762436962
3	0.8875	1.545287889
4	0.9056818182	1.362778016
5	0.91875	1.216436449
6	0.9193181818	1.105473372
7	0.9232954545	1.014281151
8	0.9284090909	0.9277372276
9	0.9346590909	0.8458119341
10	0.94375	0.7718730255
11	0.9454545455	0.7101873739
12	0.9511363636	0.6582399297
13	0.9573863636	0.6129584894
14	0.9664772727	0.571409376
15	0.9681818182	0.5365306205
16	0.9755681818	0.4993362451
17	0.9784090909	0.469229009
18	0.9806818182	0.4451045527
19	0.9823863636	0.416904042
20	0.9835227273	0.3945492702
21	0.9829545455	0.371054428
22	0.9852272727	0.3525551542
23	0.9880681818	0.333428198
24	0.9857954545	0.314963565
25	0.9886363636	0.3008400699
26	0.9869318182	0.2868917033
27	0.9880681818	0.2726312949
28	0.9886363636	0.2618907973
29	0.9886363636	0.2491531002
30	0.9892045455	0.2390956392
31	0.9897727273	0.2291920796
32	0.9909090909	0.2179183687
33	0.9909090909	0.208428422
34	0.9926136364	0.1994712677
35	0.9931818182	0.1930634282
36	0.9926136364	0.1867493842
37	0.99375	0.1800676272
38	0.99375	0.1743778558
39	0.9943181818	0.1679478591
40	0.9931818182	0.1626733343
41	0.9948863636	0.1561427229
42	0.9943181818	0.150823651
43	0.9943181818	0.1454921673
44	0.9943181818	0.1408387071
45	0.9943181818	0.1366278849
46	0.9948863636	0.1310335574
47	0.9954545455	0.1274474672
48	0.9948863636	0.1236861755
49	0.9948863636	0.1198829511
50	0.9954545455	0.1166160752
51	0.9954545455	0.1135470552
52	0.9954545455	0.1102446176
53	0.9960227273	0.1074966752
54	0.9960227273	0.1049010668
55	0.9960227273	0.1029013939
56	0.9960227273	0.1003600388
57	0.9960227273	0.09814644984
58	0.9965909091	0.09582765664
59	0.9965909091	0.09321649337
60	0.9960227273	0.09090607583
61	0.9965909091	0.08860701047
62	0.9965909091	0.08653599716
63	0.9965909091	0.08499357491
64	0.9965909091	0.08353561133
65	0.9965909091	0.08145137844
66	0.9965909091	0.0798718948
67	0.9965909091	0.0783079388
68	0.9965909091	0.07695369424
69	0.9965909091	0.07561981433
70	0.9965909091	0.07419514262
71	0.9971590909	0.07306191922
72	0.9971590909	0.0714002708
73	0.9971590909	0.07009149674
74	0.9971590909	0.06887766626
75	0.9971590909	0.06745984886
76	0.9971590909	0.06624308054
77	0.9971590909	0.06493157972
78	0.9971590909	0.06378737341
79	0.9971590909	0.06286062955
80	0.9971590909	0.06181350501
81	0.9971590909	0.06065861489
82	0.9971590909	0.05967572389
83	0.9971590909	0.05889754777
84	0.9971590909	0.05805998314
85	0.9971590909	0.05764119273
86	0.9971590909	0.05671648598
87	0.9971590909	0.05565670508
88	0.9971590909	0.05464596774
89	0.9977272727	0.05390671667
90	0.9977272727	0.05328319278
91	0.9982954545	0.05249656728
92	0.9982954545	0.05148426931
93	0.9977272727	0.0509316146
94	0.9982954545	0.05021145444
95	0.9988636364	0.04953510775
96	0.9988636364	0.04878668273
97	0.9988636364	0.04788540972
98	0.9988636364	0.04714288316
99	0.9988636364	0.04656948508
100	0.9988636364	0.04569753011
101	0.9988636364	0.04513438878
102	0.9988636364	0.04440732049
103	0.9988636364	0.04380604022
