iter	Passed	Remaining
0	166	83219
1	197	49164
2	222	36867
3	250	31008
4	274	27186
5	300	24762
6	327	23040
7	353	21729
8	378	20652
9	408	20038
10	434	19316
11	459	18703
12	485	18178
13	510	17722
14	533	17258
15	557	16866
16	582	16543
17	606	16236
18	634	16063
19	660	15851
20	686	15669
21	714	15514
22	739	15335
23	760	15092
24	784	14903
25	805	14686
26	829	14536
27	854	14405
28	878	14268
29	908	14236
30	938	14200
31	966	14135
32	992	14046
33	1017	13948
34	1043	13858
35	1064	13726
36	1088	13621
37	1112	13530
38	1137	13440
39	1161	13352
40	1184	13259
41	1209	13188
42	1233	13110
43	1257	13029
44	1281	12960
45	1314	12973
46	1342	12939
47	1368	12888
48	1390	12796
49	1417	12757
50	1447	12741
51	1474	12706
52	1503	12676
53	1527	12613
54	1553	12572
55	1577	12510
56	1602	12454
57	1625	12387
58	1651	12345
59	1678	12310
60	1706	12282
61	1732	12240
62	1767	12257
63	1800	12265
64	1830	12247
65	1860	12236
66	1887	12197
67	1911	12142
68	1933	12080
69	1957	12026
70	1979	11958
71	2002	11901
72	2024	11839
73	2046	11783
74	2069	11726
75	2091	11670
76	2115	11622
77	2138	11570
78	2168	11555
79	2199	11547
80	2241	11594
81	2277	11607
82	2304	11578
83	2333	11557
84	2359	11522
85	2385	11483
86	2412	11451
87	2438	11415
88	2466	11391
89	2495	11366
90	2522	11337
91	2549	11306
92	2576	11274
93	2600	11233
94	2625	11192
95	2652	11163
96	2681	11139
97	2712	11125
98	2742	11108
99	2770	11081
100	2797	11051
101	2826	11028
102	2849	10982
103	2877	10955
