iter	Accuracy	MultiClass
0	0.7218430034	2.709987174
1	0.819112628	2.433533401
2	0.8754266212	2.193605581
3	0.8976109215	1.984980039
4	0.9215017065	1.788248625
5	0.9300341297	1.62616171
6	0.9317406143	1.501858651
7	0.9351535836	1.389390954
8	0.9385665529	1.283612433
9	0.9402730375	1.197323157
10	0.9505119454	1.110018213
11	0.9505119454	1.049241649
12	0.95221843	0.9805030275
13	0.957337884	0.9166204492
14	0.957337884	0.8684489016
15	0.9607508532	0.8219957189
16	0.9607508532	0.7748759952
17	0.9607508532	0.7300291961
18	0.9607508532	0.6935608734
19	0.9641638225	0.655446319
20	0.9658703072	0.6265938321
21	0.9658703072	0.5929079361
22	0.9709897611	0.5681770122
23	0.9709897611	0.5379175622
24	0.9726962457	0.5136877868
25	0.9744027304	0.4930463481
26	0.976109215	0.4708525933
27	0.9778156997	0.452780265
28	0.9795221843	0.4332574436
29	0.9812286689	0.4151184675
30	0.9829351536	0.4001245785
31	0.9863481229	0.3836209928
32	0.9880546075	0.3698374712
33	0.9880546075	0.3566477868
34	0.9880546075	0.3450232259
35	0.9880546075	0.3316422241
36	0.9897610922	0.320883439
37	0.9914675768	0.3105507751
38	0.9914675768	0.3027802953
39	0.9914675768	0.2945442715
40	0.9914675768	0.2855854819
41	0.9914675768	0.2746210853
42	0.9914675768	0.2650859868
43	0.9914675768	0.25825534
44	0.9914675768	0.2495429621
45	0.9914675768	0.2429616834
46	0.9914675768	0.2354103944
47	0.9914675768	0.2292643053
48	0.9914675768	0.2238963107
49	0.9914675768	0.2174269397
50	0.9914675768	0.2124098225
51	0.9914675768	0.2073742798
52	0.9914675768	0.2018283123
53	0.9914675768	0.1970107981
54	0.9931740614	0.192572532
55	0.9931740614	0.1890559369
56	0.9931740614	0.1849453161
57	0.9931740614	0.1795949354
58	0.9931740614	0.1759004194
59	0.9931740614	0.1716727621
60	0.9931740614	0.1683700459
61	0.9931740614	0.1648826419
62	0.9931740614	0.1612799273
63	0.9931740614	0.1588325483
64	0.9931740614	0.1554551927
65	0.9931740614	0.1523190708
66	0.9931740614	0.1490569184
67	0.9931740614	0.1458443793
68	0.9931740614	0.1436118364
69	0.9931740614	0.1412427242
70	0.9931740614	0.1379909579
71	0.9931740614	0.1354064055
72	0.9931740614	0.1331163404
73	0.9948805461	0.1299143762
74	0.9948805461	0.1275924074
75	0.9948805461	0.1258192531
76	0.9948805461	0.1239117751
77	0.9948805461	0.1213159995
78	0.9948805461	0.1189777227
79	0.9965870307	0.1173118505
80	0.9965870307	0.1152729099
81	0.9965870307	0.1132049919
82	0.9965870307	0.1111691463
83	0.9965870307	0.1096772915
84	0.9965870307	0.1080241531
85	0.9965870307	0.1060729782
86	0.9982935154	0.1045962497
87	0.9982935154	0.1024131956
88	0.9982935154	0.100628771
89	0.9982935154	0.09909817564
90	0.9982935154	0.09787765656
91	0.9982935154	0.09623010047
92	0.9982935154	0.09506567683
93	0.9982935154	0.09405186075
94	0.9982935154	0.09271339297
95	0.9982935154	0.09132697257
96	0.9982935154	0.08980535685
97	0.9982935154	0.08851150427
98	0.9982935154	0.08722060358
99	0.9982935154	0.08583673991
