iter	Passed	Remaining
0	175	17331
1	197	9653
2	217	7033
3	237	5692
4	256	4865
5	278	4366
6	299	3982
7	320	3684
8	339	3433
9	360	3240
10	382	3098
11	402	2954
12	422	2827
13	443	2724
14	470	2664
15	492	2584
16	518	2533
17	542	2473
18	565	2410
19	589	2359
20	612	2302
21	635	2253
22	658	2203
23	678	2149
24	701	2104
25	722	2054
26	748	2023
27	838	2155
28	923	2261
29	962	2246
30	1002	2232
31	1041	2214
32	1087	2208
33	1140	2214
34	1182	2195
35	1241	2207
36	1315	2240
37	1352	2207
38	1385	2166
39	1421	2132
40	1457	2096
41	1498	2069
42	1536	2037
43	1578	2008
44	1620	1980
45	1653	1941
46	1688	1903
47	1724	1868
48	1756	1827
49	1792	1792
50	1826	1754
51	1857	1714
52	1888	1674
53	1919	1634
54	1951	1596
55	1981	1556
56	2008	1515
57	2038	1476
58	2071	1439
59	2099	1399
60	2126	1359
61	2152	1319
62	2178	1279
63	2205	1240
64	2232	1202
65	2261	1165
66	2290	1128
67	2320	1091
68	2348	1055
69	2377	1019
70	2404	982
71	2433	946
72	2461	910
73	2492	875
74	2519	839
75	2547	804
76	2572	768
77	2598	732
78	2627	698
79	2658	664
80	2682	629
81	2709	594
82	2735	560
83	2761	526
84	2788	492
85	2816	458
86	2842	424
87	2872	391
88	2898	358
89	2925	325
90	2951	291
91	2980	259
92	3006	226
93	3035	193
94	3063	161
95	3093	128
96	3119	96
97	3147	64
98	3172	32
99	3198	0
